Sr. No,Semester,Course Code,Course Title,Credit Hours,Grade,Grade Point,SGPA,CGPA,Warning
48,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
48,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
48,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
48,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
48,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
48,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
48,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
48,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
48,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
49,Fall,SL101,English Language Lab,1,B+,3.33,1.2,1.2,2
49,Fall,SS101,English Language,3,A-,3.67,1.2,1.2,2
49,Fall,MT119,Calculus and Analytical Geometry,3,D,1,1.2,1.2,2
49,Fall,EE182,Basic Electronics,3,D,1,1.2,1.2,2
49,Fall,CS118,Programming Fundamentals,3,F,0,1.2,1.2,2
49,Fall,CL118,Programming Fundamentals - Lab,1,F,0,1.2,1.2,2
49,Fall,MT104,Linear Algebra,3,F,0,1.2,1.2,2
49,Spring,CS118,Programming Fundamentals,3,F,0,1,1.25,2
49,Spring,CL118,Programming Fundamentals - Lab,1,F,0,1,1.25,2
49,Spring,EE227,Digital Logic Design,3,F,0,1,1.25,2
49,Spring,EL227,Digital Logic Design - Lab,1,F,0,1,1.25,2
49,Spring,SS111,Islamic and Religious Studies,3,B-,2.67,1,1.25,2
49,Spring,SS122,English Composition,3,B,3,1,1.25,2
49,Spring,MT224,Differential Equations (Cal II),3,F,0,1,1.25,2
49,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
49,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
49,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
49,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
49,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
49,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
49,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
49,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
49,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
49,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
50,Fall,MT104,Linear Algebra,3,F,0,1.14,1.14,2
50,Fall,EE182,Basic Electronics,3,F,0,1.14,1.14,2
50,Fall,CL118,Programming Fundamentals - Lab,1,F,0,1.14,1.14,2
50,Fall,CS118,Programming Fundamentals,3,F,0,1.14,1.14,2
50,Fall,MT119,Calculus and Analytical Geometry,3,C-,1.67,1.14,1.14,2
50,Fall,SS101,English Language,3,A-,3.67,1.14,1.14,2
50,Fall,SL101,English Language Lab,1,B+,3.33,1.14,1.14,2
50,Spring,EE227,Digital Logic Design,3,F,0,1,1.59,2
50,Spring,CS118,Programming Fundamentals,3,F,0,1,1.59,2
50,Spring,EE182,Basic Electronics,3,C+,2.33,1,1.59,2
50,Spring,MT104,Linear Algebra,3,C,2,1,1.59,2
